סעיף	Design pattern	הסבר
1	State	התנהגות האובייקט משתנה לפי הסטטוס שלו
2	Composite	מבנה היררכי של עץ עם ענפים ועלים
3	proxy	יצירת שכבה למשתמש עם פעולות מסוימות
4	protoype	אב טיפוס של אובייקט ויצירת העתק שלו לצורך הגנה על המקור
5	Chain of resp	שרשור בקשה בין אובייקטים עד שאחד האובייקטים מטפל בבקשה
6	visitor	הפרדה של אלגוריתם למחלקה נפרדת שיכול לבקר במחלקות מבלי לשנות אותם
7	Observer	כאשר אובייקט אחד משנה את מצבו, כל התלויים בו מתעדכנים אוטומטית
8	strategy	אפשרות לשינוי אלגוריתם במהלך ריצה
9	Abstract factory	יצירת אובייקטים נגזרים ללא צורך בשינוי מחלקות הבסיס 
10	decorator	הוספת פונקציונליות לממשק באופן דינמי, ללא צורך ביצירת מופע חדש
11	Command / Memento 	קיצורי פעולות ואפשרות לשחזר מצב קודם של אובייקט
12	builder	בניית סוגים שונים של אובייקטים עם סדר פעולות דומה
13	adapter	התאמה בין ממשקים לא מתואמים
